Currency,Units per HKD,HKD per unit,Date
GBP,0.095656305,10.45409396,2022-01-28
INR,9.621836425,0.103930264,2022-01-28
AUD,0.183357359,5.453830742,2022-01-28
CAD,0.163630628,6.111325328,2022-01-28
SGD,0.173926889,5.749542271,2022-01-28
CHF,0.119335954,8.37970423,2022-01-28
MXN,2.673939493,0.373980041,2022-01-28
PHP,6.566984908,0.152276884,2022-01-28
PLN,0.527927974,1.894197788,2022-01-28
PEN,0.493675152,2.02562352,2022-01-28
USD,0.128330669,7.792369567,2022-01-29
EUR,0.115097948,8.688252223,2022-01-29
GBP,0.095765297,10.44219603,2022-01-29
INR,9.6321208,0.103819296,2022-01-29
AUD,0.183458749,5.450816625,2022-01-29
CAD,0.16385831,6.102833585,2022-01-29
SGD,0.173885741,5.750902818,2022-01-29
CHF,0.119459577,8.371032502,2022-01-29
MXN,2.669738111,0.374568575,2022-01-29
PHP,6.563720554,0.152352616,2022-01-29
PLN,0.527116988,1.89711207,2022-01-29
PEN,0.492896396,2.028823922,2022-01-29
USD,0.128331329,7.79232952,2022-01-30
EUR,0.115094224,8.688533346,2022-01-30
GBP,0.095761456,10.44261479,2022-01-30
INR,9.632157741,0.103818898,2022-01-30
AUD,0.183400559,5.452546098,2022-01-30
CAD,0.16382119,6.104216435,2022-01-30
SGD,0.173888902,5.750798277,2022-01-30
CHF,0.119454931,8.371358048,2022-01-30
MXN,2.669781384,0.374562504,2022-01-30
PHP,6.56389338,0.152348605,2022-01-30
PLN,0.527135146,1.89704672,2022-01-30
PEN,0.492881436,2.028885501,2022-01-30
USD,0.128,7.797,2022-01-31
EUR,0.114,8.74,2022-01-31
GBP,0.095,10.476,2022-01-31
INR,9.57,0.104,2022-01-31
AUD,0.182,5.506,2022-01-31
CAD,0.163,6.141,2022-01-31
SGD,0.173,5.769,2022-01-31
CHF,0.119,8.379,2022-01-31
MXN,2.647,0.378,2022-01-31
PHP,6.558,0.152,2022-01-31
PLN,0.524,1.907,2022-01-31
PEN,0.492,2.032,2022-01-31
USD,0.128300118,7.794225103,2022-02-01
EUR,0.114172875,8.75864777,2022-02-01
GBP,0.095011044,10.52509222,2022-02-01
INR,9.599704488,0.104169873,2022-02-01
AUD,0.180457255,5.541478503,2022-02-01
CAD,0.162790546,6.142862879,2022-02-01
SGD,0.173161227,5.774964849,2022-02-01
CHF,0.118457437,8.441850717,2022-02-01
MXN,2.638336236,0.379026747,2022-02-01
PHP,6.55430311,0.152571522,2022-02-01
PLN,0.521704793,1.916792816,2022-02-01
PEN,0.497638264,2.009491777,2022-02-01
USD,0.128293337,7.794637049,2022-02-02
EUR,0.113552562,8.806494383,2022-02-02
GBP,0.094567456,10.57446237,2022-02-02
INR,9.595484183,0.104215689,2022-02-02
AUD,0.180089684,5.552788916,2022-02-02
CAD,0.162810761,6.142100138,2022-02-02
SGD,0.172904889,5.783526442,2022-02-02
CHF,0.117872533,8.483740677,2022-02-02
MXN,2.642498172,0.378429779,2022-02-02
PHP,6.543502975,0.152823343,2022-02-02
PLN,0.516054279,1.937780658,2022-02-02
PEN,0.494541173,2.02207633,2022-02-02
